dep,jour,pop,p,cl_age90
57,2020-05-13,132378.00,5,39
57,2020-05-13,131505.00,2,49
57,2020-05-13,147461.00,5,59
57,2020-05-13,135878.00,2,69
57,2020-05-13,85112.00,3,79
57,2020-05-13,51288.00,11,89
57,2020-05-13,11416.00,2,90
58,2020-05-13,199596.00,0,0
58,2020-05-13,17430.00,0,09
58,2020-05-13,20761.00,0,19
58,2020-05-13,15489.00,0,29
58,2020-05-13,18995.00,0,39
58,2020-05-13,22646.00,0,49
58,2020-05-13,27780.00,0,59
58,2020-05-13,32637.00,0,69
58,2020-05-13,24372.00,0,79
58,2020-05-13,14937.00,0,89
58,2020-05-13,4549.00,0,90
59,2020-05-13,2588988.00,35,0
59,2020-05-13,325817.00,0,09
59,2020-05-13,349653.00,1,19
59,2020-05-13,329952.00,3,29
59,2020-05-13,335101.00,4,39
59,2020-05-13,326530.00,3,49
59,2020-05-13,320261.00,1,59
59,2020-05-13,285720.00,9,69
59,2020-05-13,184388.00,4,79
59,2020-05-13,105642.00,6,89
59,2020-05-13,25924.00,4,90
60,2020-05-13,825077.00,4,0
60,2020-05-13,105005.00,0,09
60,2020-05-13,109771.00,0,19
60,2020-05-13,86945.00,0,29
60,2020-05-13,106081.00,1,39
60,2020-05-13,111306.00,0,49
60,2020-05-13,110477.00,0,59
60,2020-05-13,95477.00,2,69
60,2020-05-13,60846.00,1,79
60,2020-05-13,31232.00,0,89
60,2020-05-13,7937.00,0,90
61,2020-05-13,276903.00,6,0
61,2020-05-13,27454.00,0,09
61,2020-05-13,32376.00,1,19
61,2020-05-13,23921.00,1,29
61,2020-05-13,27860.00,1,39
61,2020-05-13,32672.00,1,49
61,2020-05-13,38069.00,1,59
61,2020-05-13,40286.00,0,69
61,2020-05-13,29441.00,1,79
61,2020-05-13,19119.00,0,89
61,2020-05-13,5705.00,0,90
62,2020-05-13,1452778.00,13,0
62,2020-05-13,175077.00,0,09
62,2020-05-13,192152.00,0,19
62,2020-05-13,155051.00,0,29
62,2020-05-13,181223.00,5,39
62,2020-05-13,185396.00,0,49
62,2020-05-13,188804.00,2,59
62,2020-05-13,181141.00,2,69
62,2020-05-13,113951.00,1,79
62,2020-05-13,64319.00,1,89
62,2020-05-13,15664.00,0,90
63,2020-05-13,660240.00,3,0
63,2020-05-13,68489.00,0,09
63,2020-05-13,79191.00,0,19
63,2020-05-13,75092.00,0,29
63,2020-05-13,77930.00,0,39
63,2020-05-13,83111.00,0,49
63,2020-05-13,86381.00,1,59
63,2020-05-13,84468.00,1,69
63,2020-05-13,61456.00,0,79
63,2020-05-13,34498.00,1,89
63,2020-05-13,9624.00,0,90
64,2020-05-13,683169.00,2,0
64,2020-05-13,67302.00,0,09
64,2020-05-13,77643.00,0,19
64,2020-05-13,63354.00,1,29
64,2020-05-13,78556.00,1,39
64,2020-05-13,87908.00,0,49
64,2020-05-13,94942.00,0,59
64,2020-05-13,90129.00,0,69
64,2020-05-13,68265.00,0,79
64,2020-05-13,42654.00,0,89
64,2020-05-13,12416.00,0,90
65,2020-05-13,226839.00,2,0
65,2020-05-13,20120.00,0,09
65,2020-05-13,24719.00,0,19
65,2020-05-13,19425.00,0,29
65,2020-05-13,22948.00,0,39
65,2020-05-13,26998.00,1,49
65,2020-05-13,32331.00,0,59
65,2020-05-13,34306.00,0,69
65,2020-05-13,25355.00,1,79
65,2020-05-13,15874.00,0,89
65,2020-05-13,4763.00,0,90
66,2020-05-13,479000.00,0,0
66,2020-05-13,48883.00,0,09
66,2020-05-13,53353.00,0,19
66,2020-05-13,42808.00,0,29
66,2020-05-13,51091.00,0,39
66,2020-05-13,57577.00,0,49
66,2020-05-13,63924.00,0,59
66,2020-05-13,66386.00,0,69
66,2020-05-13,55486.00,0,79
66,2020-05-13,30698.00,0,89
66,2020-05-13,8794.00,0,90
67,2020-05-13,1132607.00,30,0
67,2020-05-13,122957.00,2,09
67,2020-05-13,135148.00,0,19
67,2020-05-13,141488.00,1,29
67,2020-05-13,143902.00,2,39
67,2020-05-13,144948.00,2,49
67,2020-05-13,155713.00,8,59
67,2020-05-13,137001.00,2,69
67,2020-05-13,87712.00,2,79
67,2020-05-13,51381.00,5,89
67,2020-05-13,12357.00,6,90
68,2020-05-13,763204.00,14,0
68,2020-05-13,85912.00,0,09
68,2020-05-13,89905.00,0,19
68,2020-05-13,78096.00,1,29
68,2020-05-13,94190.00,1,39
68,2020-05-13,100879.00,3,49
68,2020-05-13,108273.00,2,59
68,2020-05-13,96611.00,2,69
68,2020-05-13,63975.00,1,79
68,2020-05-13,36716.00,4,89
68,2020-05-13,8647.00,0,90
69,2020-05-13,1876051.00,20,0
69,2020-05-13,236754.00,0,09
69,2020-05-13,241388.00,0,19
69,2020-05-13,267382.00,2,29
69,2020-05-13,255779.00,0,39
69,2020-05-13,235508.00,2,49
69,2020-05-13,220390.00,3,59
69,2020-05-13,179326.00,2,69
69,2020-05-13,136780.00,5,79
69,2020-05-13,79378.00,1,89
